time (ms),voltage (v),humidity (%),temperature (C),Heat index (C)
14064,3.30,42.00,25.80,25.53
15064,3.30,42.00,25.80,25.53
16089,3.30,42.00,25.80,25.53
17089,3.30,42.00,25.80,25.53
18114,3.30,42.00,25.80,25.53
19114,3.30,42.00,25.80,25.53
20139,3.30,42.00,25.80,25.53
21139,3.30,42.00,25.80,25.53
22164,1.26,42.00,25.80,25.53
23164,1.22,42.00,25.80,25.53
24189,0.00,42.00,25.80,25.53
25189,0.00,42.00,25.80,25.53
26214,0.00,42.00,25.80,25.53
27214,0.51,42.00,25.80,25.53
28239,0.85,42.00,25.80,25.53
29239,1.29,42.00,25.80,25.53
30264,1.50,42.00,25.80,25.53
31264,1.82,42.00,25.80,25.53
32289,2.40,42.00,25.80,25.53
33289,2.23,42.00,25.80,25.53
34314,1.30,42.00,25.80,25.53
35314,1.29,42.00,25.80,25.53
36339,1.99,42.00,25.80,25.53
37339,2.96,42.00,25.80,25.53
38364,3.10,42.00,25.80,25.53
39364,3.11,42.00,25.80,25.53
40389,3.30,42.00,25.80,25.53
41389,3.30,42.00,25.80,25.53
42414,1.98,42.00,25.80,25.53
43414,1.30,42.00,25.80,25.53
44439,1.01,42.00,25.80,25.53
45439,0.17,42.00,25.80,25.53
46464,0.16,42.00,25.80,25.53
47464,0.16,42.00,25.80,25.53
48489,0.00,42.00,25.80,25.53
49489,0.00,42.00,25.80,25.53
50514,0.50,42.00,25.80,25.53
51514,1.10,42.00,25.80,25.53
52539,1.49,42.00,25.80,25.53
53539,1.50,42.00,25.80,25.53
54564,2.03,42.00,25.80,25.53
55564,2.03,42.00,25.80,25.53
56589,2.66,42.00,25.80,25.53
57589,2.70,42.00,25.80,25.53
58614,2.70,42.00,25.80,25.53
59614,2.71,42.00,25.80,25.53
60639,2.71,42.00,25.80,25.53
61639,2.70,42.00,25.80,25.53
62664,2.71,42.00,25.80,25.53
63664,2.70,42.00,25.80,25.53
64689,2.70,42.00,25.80,25.53
65689,2.71,42.00,25.80,25.53
66714,2.70,42.00,25.80,25.53
67714,2.71,42.00,25.80,25.53
68739,2.71,42.00,25.80,25.53
69739,2.71,42.00,25.80,25.53
70764,2.70,42.00,25.80,25.53
71764,2.70,42.00,25.80,25.53
72789,2.70,42.00,25.80,25.53
73789,2.71,42.00,25.80,25.53
74814,2.70,42.00,25.80,25.53
75814,2.71,42.00,25.80,25.53
76839,2.71,42.00,25.80,25.53
77839,2.71,42.00,25.80,25.53
78864,2.71,42.00,25.80,25.53
79864,2.71,42.00,25.80,25.53
80889,2.71,42.00,25.80,25.53
81889,2.70,42.00,25.80,25.53
82914,2.71,42.00,25.80,25.53
83914,2.70,42.00,25.80,25.53
84939,2.70,42.00,25.80,25.53
85939,2.70,42.00,25.80,25.53
86964,2.70,42.00,25.80,25.53
87964,2.70,42.00,25.80,25.53
88989,2.71,42.00,25.80,25.53
89989,2.71,42.00,25.80,25.53
91014,2.70,42.00,25.80,25.53
92014,2.70,42.00,25.80,25.53
93039,2.71,42.00,25.80,25.53
94039,2.70,42.00,25.80,25.53
95064,2.70,42.00,25.80,25.53
96064,2.71,42.00,25.80,25.53
97089,2.71,42.00,25.80,25.53
98089,2.71,42.00,25.80,25.53
99114,2.71,42.00,25.80,25.53
100114,2.71,42.00,25.80,25.53
101139,2.71,42.00,25.80,25.53
102139,2.70,42.00,25.80,25.53
103164,3.30,42.00,25.80,25.53
104164,3.30,42.00,25.80,25.53
105189,2.79,42.00,25.80,25.53
106189,2.21,42.00,25.80,25.53
107214,1.53,42.00,25.80,25.53
108214,1.48,42.00,25.80,25.53
109239,1.48,42.00,25.80,25.53
110239,1.48,42.00,25.80,25.53
111264,1.48,42.00,25.80,25.53
112264,1.47,42.00,25.80,25.53
113289,1.48,42.00,25.80,25.53
114289,1.48,42.00,25.80,25.53
